"fileid","artist","album","song","length","isrc","label","explicit","spotify_url","upc"
"4ef1433699968e2c6200b056","Diplo, Kay, Datsik","Pick Your Poison","Pick Your Poison feat. Kay (Original Mix)","340","","","","",""
"4e1642ae99968e75f5002e8e","Arion","","Cold Blood & Ice Cream Cones (Original Mix) - Arion","260","","","","",""
"4ddc2097845daf626d00017f","Beastie Boys","Intergalactic","Intergalactic [Prisoners of Technology/TMS 1 Remix]","338","","","","",""
"4dd9547ee8a6c43b68000043","Aaren San","dancendancen.com","Apes from Space (Dirtyloud Remix)","314","","","","spotify:track:4ONyL9U3HhUfqPr09ipDkf",""
"4e1766b499968e75f6003dc3","Beastie Boys","http://dubstep-remixes.com","Intergalactic (Zeek Remix)","324","","","","",""
"4e3ca09a99968e56a000c53b","Waverokr, And Droyd","From The Roots","Hit It - Original Mix","408","","","","",""
"4ec3ff6399968e3cb9001a4b","501","Strings Attached / Smoke & Mirrors","Smoke and Mirrors","266","","","","spotify:track:17uAg6SQoikuVuhfPTnWYF",""
"4e545d6b99968e1ff400459c","gLAdiator","","Danger Zone (Original Mix)","287","","","","",""
"4e2db52d99968e637f00ee4c","Swedish House Mafia","ThisSongIsSick.com","Save The World (Zedd Remix)","381","","","","spotify:track:5ZwTAZe3enscONgoMKTd9Y",""
"4e2658af99968e639000418d","xKore","FreshFilthClothing.com","Domination","284","","","","spotify:track:3pIFV8sRDlXvoZk7Pz6Kru",""
"512059a99f81f31ed7d7e26d","Milkman","Breaking Free (Original Mix)","Breaking Free (Original Mix)","299","None","Tunecore","None","spotify:track:6rD8b3gmybQMEgpRPdbfvk","None"
"512055a79f81f31ed7d7693a","The Crownhate Ruin","Until the Eagle Grins","Piss Alley","329","US35U0409808","Dischord Records","False","spotify:track:3jFCP9GXojRkXTxub3Pw6H","0718751799820"
"4e59614999968e1fe8008bdd","Savoy","","I'm In Need (Original Mix)","270","","","","spotify:track:5H1CKkwmKTCBUEMMxetBtn",""
"4dfef1f899968e01f10009a4","Rico Tubbs","What You Know About Bass?","What You Know About Bass? - Original Mix","273","","","","",""
"4df99e3199968e74ef0000cd","Cyberoptics","PLAY ME RECORDS PROMO","Geisha - Total Recall Remix","281","","","","",""
"4e7b5a0299968e2e3800019a","Megaclown","","Sadness","190","","","","",""
"4e0214f999968e7128000470","Diesel","","Super Saiyan","402","","","","",""
"4de93ac3845daf4804000035","Zedd","Dovregubben","Dovregubben - Original Mix","300","","","","spotify:track:5FCfyAp7HeEoqQl3y0d8Wi",""
"4e028f8199968e712e000cfa","Nero","Welcome To Reality","Book Of Harmony","302","","","","",""
"4e1f51fb99968e3cc3001368","halo nova","The Last Vampire","The Last Vampire","290","","","","",""
"4e6e2cff99968e16dc0003bd","Excision, Downlink","X Rated","The Underground (Original Mix)","296","","","","spotify:track:2RnfTqO1FBipb47kD5FBHy",""
"4dfb7fbc99968e673600038e","DatsiK & Bare","Earmilk.com","King Kong","255","","","","spotify:track:4XgNAnJ9aTrlHOwWbkhIo3",""
"4e3a2bc199968e56a30097c1","Zero","Emit/Collect Rennie Pilgrem Remix","Emit/Collect Rennie Pilgrem's agatha Stomp mix","413","","","","",""
"4ddd6c17845daf626d000417","Tittsworth, Maluca, Alvin Risk","Two Strokes Raw","La Campana - Original Mix","288","","","","",""
"4dd9b8d1e8a6c4121b000006","Mord Fustang","Lick The Rainbow","Lick The Rainbow (Original Mix) ","422","","","","",""
"4ddc1efe845daf626d000177","Bassnectar","Soundcloud","Magical World feat. Nelly Furtado","300","","","","",""
