"fileid","artist","album","song","length","isrc","label","explicit","spotify_url","upc"
"5121e67e9f81f31ed7fc61ea","Justin Bieber (feat. Big Sean)","As Long As You Love Me","As Long As You Love Me (Audien Luvstep Mix)","280","USUM71209050","Island Records","False","spotify:track:40EAGdJoHsLkgwPpdFN3gS","00602537170265"
"5120a0929f81f31ed7e0801b","Andy Grammer","Andy Grammer","Fine By Me","172","USZXT1108633","S-Curve Records","False","spotify:track:7tg0OrYieTMcQmxIczNMqE","00044003143265"
"512050789f81f31ed7d6a93c","Wiz Khalifa","Rolling Papers","No Sleep","191","USAT21100303","Rostrum/Atlantic","False","spotify:track:3aPAqdIyWKT6d1H63uBT45","075679970121"
"51218b2c9f81f31ed7f66f42","Alex Clare","The Lateness Of The Hour","Too Close","257","GBUM71101222","Universal Records","False","spotify:track:4VySpxhRGy32u5zPCprzDn","00602537037261"
"512051489f81f31ed7d6c34f","Flo Rida","Turn Around [5,4,3,2,1]","Turn Around (5,4,3,2,1)","200","USAT21002298","Poe Boy/Atlantic","False","spotify:track:6Uj8ru7TNLDIelbuQ8eBd6","075679971784"
"5120514e9f81f31ed7d6c42c","Ok Go","Of the Blue Colour of the Sky (Extra Nice Edition)","This Too Shall Pass","188","USCA20904749","Paracadute","False","spotify:track:1SMtj9r8K7Lzh71S5MsIhD","884977825466"
"512055a69f81f31ed7d76911","Ok Go","OK Go","Get Over It","197","USCA20200299","Capitol Records (New Release)","False","spotify:track:0SLOiJClXkAZluClYpke95","0724353372453"
"5121de009f81f31ed7fb8cd3","Psy","Gangnam Style (?????)","Gangnam Style (?????)","219","USUM71210283","Republic Records","False","spotify:track:1R2SZUOGJqqBiLuvwKOT2Y","00602537178032"
"50ac0eeecf683a6ed72cdfb2","Sandro Silva & Quintino ","Thissongissick.com","Epic (Carnage & Luminox Festival Trap Refix)","257","","","","",""
"5124100bcf683a3422cf71f6","Ricky Cervantes","","Cowboy B.o.Bebop! (The Seatbelts v. Luke Vibert v. B.o.B v. Nicki Minaj)","214","","","","",""
"51216a149f81f31ed7f3a9c7","Sebastian Ingrosso (feat. Alesso & Ryan Tedder)","Calling (Lose My Mind)","Calling (Lose My Mind) (Radio Edit)","205","GBJ4B1200056","Interscope","False","spotify:track:34NNeV9jfgNgaALgUr0u9V","00602527996073"
"512051439f81f31ed7d6c2a4","Antoine Dodson & The Gregory Brothers","Bed Intruder Song (feat. Kelly Dodson)","Bed Intruder Song (feat. Kelly Dodson)","185","US92U1029001","Gregory Residence","False","spotify:track:3au9WLuwTxQlrHBlBb52ss","881034572295"
"510a87e6cf683a1bf3e99bca","Fareoh & Archie","","Feathers + Alive (Bootleg)","330","","","","",""
"512050909f81f31ed7d6abfd","Wynter Gordon","Dirty Talk [Remixes]","Dirty Talk [Laidback Luke Remix]","391","USAT21000282","Big Beat Records/Atlantic","False","spotify:track:3BQFSZ786vuUQLrQHCa2Cz","075679977403"
"50c92a06cf683a7f7c3b9949","Kill Paris","Shades of Funk","Shades of Funk","163","","","","",""
"4e89037899968e5872001b95","Steve Aoki & Afrojack","Vacayvitamins.com","No Beef Ft. Miss Palmer (Panic City & Supersede Remix)","360","","","","",""
"50feb859cf683a52ad75bbdf","Steven V & Kario Mart","","Huuu! (Original Mix)","141","","","","",""
"4f2c8bf5c7d26c6e2c000661","Jean Roch ","","Name Of Love (feat. Pitbull & Nayer) ","206","","","","",""
"512050eb9f81f31ed7d6b6b4","Chris Brown","Yeah 3x","Yeah 3x (Explicit Version)","240","USJI11000230","Jive","True","spotify:track:0AUIjHlr9KfbVoemhhxHS6","884977806076"
"515ce5320f812c6533366628","Rihanna","Loud","Only Girl (In the World) (Album Version)","235","USUM71023200","Def Jam Records","False","spotify:track:3YJlTDtUXu1sGh8lunblkG","00602527829340"
"516ec823df5bcf312e3fc48d","Fall Out Boy","Save Rock And Roll","My Songs Know What You Did In The Dark (Light Em Up)","187","USUM71300299","Island Records","False","spotify:track:7s0lDK7y3XLmI7tcsRAbW0","00602537331086"
"512207a09f81f31ed7ff0d2a","Phillip Phillips","The World From The Side Of The Moon","Gone, Gone, Gone","210","QMTM61200406","19 Recordings/Interscope","False","spotify:track:20S0KRq4z2v2Utym0C246s","00602537209750"
"5120513e9f81f31ed7d6c1f5","Slightly Stoopid","Chronchitis","2am","300","JMA271100628","Stoopid Records","False","spotify:track:0LQ8OWUZXRd7qu5ujC3758","0020286107026"
"512051da9f81f31ed7d6d6e9","Skrillex","Scary Monsters and Nice Sprites EP","Rock N' Roll (Will Take You To The Mountain)","284","GBTDG1000195","Big Beat Records/Atlantic","True","spotify:track:2TkoUq8sPXmc4KYzKBiTWT","075679970930"
"512053e89f81f31ed7d722d3","Iyaz","Replay","Replay (Album Version)","182","USRE10901161","Time Is Money/Beluga Heights/Reprise","False","spotify:track:5vlEg2fT4cFWAqU5QptIpQ","054391987464"
"51214c0d9f81f31ed7f0fee6","Gotye","Making Mirrors","Somebody That I Used to Know (feat. Kimbra)","208","AUZS21100040","Samples & Seconds / Republic","False","spotify:track:1qDrWA6lyx8cLECdZE7TV7","00602527930299"
"5121000c9f81f31ed7e9f540","David Guetta","Nothing But The Beat","Turn Me On (feat. Nicki Minaj)","199","GB28K1100029","EMI France","False","spotify:track:6T27IN7Ai94BeDv6PPCmoC","5099967932559"
"5120aca49f81f31ed7e1cfee","The Lonely Island (feat. T-Pain)","Incredibad","I'm On A Boat","156","USUM70900497","Broadway Video/Republic Records","True","spotify:track:3IQSYqnKsCTMLWn2xE3HFT","00602517969742"
"512110749f81f31ed7eb7876","Rihanna (feat. Calvin Harris)","We Found Love","We Found Love (R3hab's XS Remix Edit)","215","USUM71116801","Def Jam Records","False","spotify:track:43byoJF6OuPtVvUqUydU0G","00602527910611"
"51212d619f81f31ed7ee331f","Chris Brown feat. Kevin McCall","Fortune","Strip","169","USRC11101006","RCA Records Label","True","spotify:track:2i8hWheuwDUwyPrZynCLEF","886443361669"
"512051ca9f81f31ed7d6d4e6","JET","Get Born","Are You Gonna Be My Girl (Album Version)","213","USEE10340526","Elektra Records","False","spotify:track:305WCRhhS10XUcH6AEwZk6","075596289269"
"51213fbd9f81f31ed7efe2c5","Daft Punk","Until One (Deluxe Edition)","One More Time","320","GBDUW0000053","EMI UK","False","spotify:track:0DiWol3AO6WpXZgp0goxAV","5099990775055"
"51205fd19f81f31ed7d8b1a3","The Vines","Deep Cuts","Ms. Jackson","210","USCA20200999","Capitol Catalog","False","spotify:track:7MJNwJNT78fjzZtn0z7W2Q","5099996653159"
"512054139f81f31ed7d729fd","Wolfmother","Wolfmother","White Unicorn","304","AUUM70500112","Interscope","False","spotify:track:1ME7CDzGQgj5mAy4quOD6e","00602498776841"
"51214a4a9f81f31ed7f0d746","Cobra Starship","Middle Finger","Middle Finger (feat. Mac Miller) [Bingo Players Remix]","325","USAT21103747","Decaydance/Fueled By Ramen","True","spotify:track:1I7QjF9uKVhsnH9hefN9N8","075679964342"
"512079d89f81f31ed7dc1736","Bloodhound Gang","Show Us Your Hits","The Bad Touch","261","USIR19902530","Geffen","True","spotify:track:2qONptRzQM0D3BGOgAsapI","00602527612751"
"5120553c9f81f31ed7d7591c","Shakira feat. Freshlyground","Waka Waka (This Time for Africa) (feat. Freshlyground)","Waka Waka (This Time for Africa) (feat. Freshlyground)","203","USSD11000300","Sony Music Latin/Epic","False","spotify:track:2D0fFvKKxLfXDfdAuwsnWn","884977736892"
