"fileid","artist","album","song","length","isrc","label","explicit","spotify_url","upc"
"506f70f9cf683a5290002263","Fun.","","We Are Young (Alvin Risk Remix Pt. 2)","227","","","","",""
"4e7a57c799968e31dc004986","Cris Cab","The Kollection","Pumped Up Kicks (Foster The People Cover)","197","","","","",""
"4ea8d68699968e06100009d9","Foster the People x Afrojack","davewrangler.com","Pumped Up Kicks (Dave Wrangler Take Over Control Remix)","323","","","","",""
"502974c6cf683a7ac6001975","Gotye","JBMD Reggae Remix","Somebody That I Used To Know (Jr Blender Reggae Remix)","231","","","","",""
"5044ab9ecf683a63300046a3","Psy?? (PSY)","PSY 6? (Six Rules), Pt. 1 - EP","Gangnam Style (?? ???)","219","","","","",""
"5059c3b3cf683a46150030af","Firebeatz & Schella vs PSY","","Dear Gangnam (Ken Loi Bootup Style)","295","","","","",""
"4e21e48e99968e026d001b0f","A Plus D","AplusD.net","Deadmau5 Can't Hug Every Cat (The Gregory Brothers feat. Debbie vs. Deadmau5)","251","","","","",""
"50a6dc9ecf683a6ee5e3701e","Deiger;","Pulse [E.P.]","Turn Off Your Mind","340","","","","",""
"4e09009199968e6f090007be","The White Panda","Versus","What You Know About Little Secrets (T.I. // Passion Pit)","139","","","","",""
"5021d6d6cf683a4a19000496","Disasterpeace","FEZ","Adventure","199","","","","spotify:track:4anq5TpdEYFA3QCvyDLMUe",""
"50a82e98cf683a6ed4b32c88","Disasterpeace","FEZ","Home","96","","","","spotify:track:6gN6oruTUoESMIDta1yJgP",""
"50ac23f0cf683a6ed1632477","Robin Skouteris","EARMILK.COM","PopLove  (2012)","327","","","","",""
"507101dfcf683a52a2003243","Taylor Swift","Remix","We Are Never Ever Getting Back Together (AsianNation Rejuvenation)","221","","","","",""
"50be545dcf683a1d04afbe41","heRobust","","Knife Party - Internet Friends (heRobust's Run Da Trap Bootleg) ","249","","","","",""
"50d24c2ecf683a1ae3c7a739","CMYK","Feliz Navidad","Feliz Navidad (Chiptune Version)","99","","","","",""
"4f8bca10c7d26c4ff30015f7","Deadmau5","Robert Frier's Album","Strobe (Redial Remix)","300","","","","",""
"4ed54df499968e3cc1007368","Miike Snow","Animal (Remixes) - Single","Animal (Peter Bjorn and John Remix)","239","","","","spotify:track:7j4reT5M4HYK47q0ZyGuS3",""
"4e04ea6099968e056c0005ca","Afrojack","Take Over Control","Take Over Control (Feat. Eva Simons) [Radio Edit]","221","","","","spotify:track:63tkks3VEUbTheP2PI0QdE",""
"4e8b224f99968e58890028f6","Lack Of Afro","Press On","Pure Filth","227","","","","spotify:track:1R1uWJ63igFZw4OzOUFkb2",""
"4fac22d6cf683a78df0006b5","Far East Movement Feat. Justin Beiber","","*Live My Life (JAM3S K3NN3DY Remix)","234","","","","",""
